Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,3520551724.13793,3701667052.55846,4183548189.07305,4105706151.75145,4087337959.93191,4734020036.68689,5115602836.87943,5197332974.13793,4051147227.53346,4600000000,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,287658184.003427,240319995.602463,240215763.888889,225998091.177435,258985597.704814,290464801.110083,303435517.922664,352260952.905536,363452787.203102,399268801.672085,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657069.05537
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,10137883299.3156,10939053365.4786,10945070441.9283,10267133177.7334,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16695925027.1944
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1440711395.67069,1377375030.52921,1411917558.45855,1278781166.72188,851174350.649409,1115389731.79119,1007791186.20106,937741468.029676,967338348.658314,999477510.686632,916777282.651168,932648604.420575,996068145.608021,1142315522.1989,1272360516.62022,1337894379.62649,1461859762.62791,1699811293.2576,1993407886.56402,2067381663.75378,2142591375.85053,2437982839.63072,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349974.15272,2220978978.17342,2221301400.72468
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,593929550908.468,610328183643.188,592387689252.916,577170761956.438,578139279437.61,604031623433.401,628546387972.131,654986999855.554,634000000000,678412196271.118,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,256335875977.442,242728591902.057,259967235199.875,274115786150.971,310946964074.107,393352948423.094,416122304768.619,410087083944.209,448799835834.191,434972267340.216,428307303232.491,468825006329.801,528392950952.861,634139360251.065,763216404613.204,886849878955.78,1002925866071.31,1266805604460.73,1532956064060.26,1290896340202.07,1318170441878.33,1449339068443.49,1353315149256.49,1422763976505.68,1465927584533.31,1293063507844.1,1321561802163.9,1464532904458.85,1645463203193.69,1673863310975.42
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,265987061618.198,269127820781.032,280156819798.037,272466458446.129,301628489434.818,353132515010.571,340471241909.385,295121356714.67,303882354117.809,298520480628.412,279841151705.353,287226531168.523,310175772488.13,363063293977.872,405531321270.607,420544947799.55,443801905407.561,493537376707.764,570304197211.707,558199868578.256,603434493402.679,722038242134.62,692109693986.886,712748124222.61,734396591036.932,702149580770.901,695600652899.283,704478516963.855,735539301552.674,731767398052.879
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,5945445051.30899,6263177944.41707,6439403014.0037,6233310060.38969,6663436031.24708,7332574115.57254,8553956571.09378,8827299477.20007,9676410337.59329,11515258634.0085,,,,,,,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,33113887818.957,37834793730.3133,45964327558.8836,49297773130.1185,57008425295.8256,73447063319.3034,78574385335.5811,85728899954.449,81995304456.1038,75596103237.1555,78249883995.6255,71517080040.6338,70294892400.0639,76507577234.5965,99079230169.6389,122314960843.922,153840051814.059,172565850839.158,179663403196.985,171412642047.328,217105420016.533,251224856981.294,267175872540.066,277239461340.404,259405202008.001,242496649874.236,249298719723.108,276364933679.626,295402652037.155,278584733103.01
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564324670008.238,734547898224.101,863746717507.397,961603952954.233,1029043097558.91,1093997267277.1,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937500608
